,artist,rank,song,year,lyrics
10,Johnny Cash,11,Frankie's Man  Johnny,1959,"

[Verse]
Well now, Frankie and Johnny were sweethearts
They were true as a blue, blue sky
He was a long-legged guitar picker with a wicked wandering eye
But he was her man nearly all of the time
Well, Johnny he packed up to leave her, but he promised he'd be back
He said he had a little picking to do a little farther down the track
He said, ""I'm your man, I wouldn't do you wrong""
Well, Frankie curled up on the sofa, thinking about her man
Far away the couples were dancing to the music of his band
He was Frankie's man, he wadn't doing  her wrong
Then, in the front door walked a redhead, Johnny saw her right away
She came down by the bandstand to watch him while he played
He was Frankie's man, but she was far away
He sang every song to the redhead, she smiled back at him
Then he came and sat at her table where the lights were low and dim
What Frankie didn't know wouldn't hurt her none
Then the redhead jumped up and slapped him, she slapped him a time or two
She said, ""I'm Frankie's sister and I was checking up on you
If you're her man you better treat her right""

[Outro]
Well, the moral of this story is be good but carry a stick
Sometimes it looks like a guitar picker just can't tell what to pick
He was Frankie's man and he still ain't done her wrong

"
11,Carl Belew,12,Am I That Easy To Forget,1959,"

(Am I that easy to forget)
You say you've found somebody new but that won't stop my loving you
I just can't let you walk away forget the love I had for you
Yes I could find somebody too but I don't want no one but you
How can you leave without regret am I that easy to forget
(Am I that easy to forget)
Before you leave be sure you find you want his love much more than mine
Cause I'll just say we've never met if I'm that easy to forget
(Am I that easy to forget)
[ steel ]
Yes I could find somebody too but I don't want no one but you
How could you leave without regret you're not that easy to forget
(Am I that easy to forget)
Before you leave be sure...

"
12,Johnny Cash,14,You Dreamer You,1959,"

[Verse]
I dreamed I walked in a field of flowers
Oh, what a dream
The houses all were silver towers
Oh, what a dream
Beside the road an angel sat
I said hello and tipped my hat
And stopped when I saw her smile
And set me down a while
I set me down a while
You dreamer you
I tried the angel for a kiss
Oh, what a dream
But she turned away and my lips missed
Oh, what a dream
She said, ""Sir, I'll have you know
I met you just a while ago
You're welcome for to sit
But calm yourself a bit, sir
Calm yourself a bit
You dreamer you
I fell in love like one, two, three
Oh, what a dream
I asked the angel to marry me
Oh, what a dream
She said, ""Sir, I can't marry you
But I'm a dream that can come true
There are dreams of much my worth
That live upon the earth, sir
Live upon the earth
You dreamer you""
Then I awoke and found my love
Oh, what a dream
As heavenly as the one above
Oh, what a dream
We'll marry in a sea of flowers
Home will be a silver tower

[Outro]
There'll be heaven in my life
With an angel for a wife[x2]
You dreamer you[x2]

"
13,Johnny Cash,15,Thanks A Lot,1959,"

[Verse]
You're telling everyone in town that I don't treat you right
You even say I stay away and don't come home at night
I'm losing you and you are all I've got thanks a lot thanks a lot
It seems you like to hurt me and you know I'm good to you
I'd give you anything I own do anything you want me to
Yeah now you really got me on the spot thanks a lot thanks a lot
Still I would forgive you if you'd let me I'd be glad if we could try again
But it seems that you're just out to get me
And it looks as if you're just about to win
No matter what you do I'll always do love you
And you will never know how it hurts to see you go
And you're calling me those things you know I'm not thanks a lot thanks a lot

[Outro]
No matter what you do I always do love you
And you will never know how it hurts to see you go
You say I'm happy but you know I'm not thanks a lot thanks a lot thanks a lot

"
14,Margie,16,Poor Old Heartsick Me,1959,
15,Ernest Tubb,17,I Cried A Tear,1959,"

It amazes me how she can change my mind
When it seems to be impossible she can do it everytime
And the way she always loves me she's got that down perfect too
I keep asking myself what is it the lady can't do
She brightens any room she walks inside
And the way she comes in smiling you'd never think she ever cries
She still looks as young and pretty as she did the day we met
If there's one thing bad about her I ain't found it yet
What it is my woman can't do can't be done
If there's ever been a darling I've got one
She beats all I've ever seen she's the champion of our team
What my woman can't do can't be done what my woman can't do can't be done

"
16,Don Gibson,18,Lonesome Old House,1959,"

In this lonesome old house
In this lonesome old house

Listen to the clock
A-going tick-tock
Listen to the rain
On the window pane
Everything's quiet
Quiet as a mouse
In this lonesome old house
In this lonesome old house

Everything's dark
Dark outside
Stars don't shine
In the sky
Here I sit
No one about
In this lonesome old house
In this lonesome old house

All the love and laughter and sunshine
Left when she said goodbye
There's no longer the sweet, sweet lips
And that lovin'
That sweet lovin' smile
So let it be said
If your love is true
You be good to her
She'll be good to you
And don't you end up
Being without
In a lonesome old house
In a lonesome old house

"
17,Wilma Lee & Stoney Cooper,19,Big Midnight Special,1959,"

[Intro: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me

[Verse 1: Wilma Lee]
Woke up this morning, heard the whistle blow
The jailer said, ""Come, boy, it's time to go""

[Refrain: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me

[Verse 2]
I've never had the blues so in my life before
'Til my baby left me at the station door

[Refrain: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me

[Interlude]

[Verse 3: Wilma Lee]
They put him in a Pullman, guards around his door
Said, ""You're off to Atlanta, to serve ten years more""

[Refrain: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me

[Verse 4: Wilma Lee]
He looked all around him, in that Pullman car
Saw the men all wearin' clothe hats, smokin' big cigars

[Refrain: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me

[Interlude]

[Verse 5]
Took him off in Atlanta, at the end of the line
Said, ""You start servin' time, boy, for your awful crime""

[Refrain: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me

[Verse 6]
That whistle makes me lonesome, of the midnight train
But he knows I'm waitin', 'til he brings him home again

[Outro: Wilma Lee & Stoney Cooper]
Big midnight special, shine your light on me
Big midnight special, shine your everlovin' light on me
Big midnight special, shine your everlovin' light on me
Big midnight special, shine your everlovin' light on me

"
18,Johnny Cash,20,Don't Take Your Guns To Town,1959,"

[Verse 1]
A young cowboy named Billy Joe grew restless on the farm
A boy filled with wonderlust who really meant no harm
He changed his clothes and shined his boots
And combed his dark hair down
And his mother cried as he walked out

[Chorus]
Don't take your guns to town son
Leave your guns at home Bill
Don't take your guns to town

[Verse 2]
He laughed and kissed his mom
And said your Billy Joe's a man
I can shoot as quick and straight as anybody can
But I wouldn't shoot without a cause
I'd gun nobody down
But she cried again as he rode away

[Chorus]
Don't take your guns to town son
Leave your guns at home Bill
Don't take your guns to town

[Verse 3]
He sang a song as on he rode
His guns hung at his hips
He rode into a cattle town
A smile upon his lips
He stopped and walked into a bar
And laid his money down
But his mother's words echoed again

[Chorus]
Don't take your guns to town son
Leave your guns at home Bill
Don't take your guns to town

[Verse 4]
He drank his first strong liquor then to calm his shaking hand
And tried to tell himself atlast he had become a man
A dusty cowpoke at his side began to laugh him down
And he heard again his mothers words

[Chorus]
Don't take your guns to town son
Leave your guns at home Bill
Don't take your guns to town

[Verse 5]
Filled with rage then
Billy Joe reached for his gun to draw
But the stranger drew his gun and fired
Before he even saw
As Billy Joe fell to the floor
The crowd all gathered around
And wondered at his final words

[Chorus]
Don't take your guns to town son
Leave your guns at home Bill
Don't take your guns to town

"
19,Wilburn Brothers,21,Somebody's Back In Town,1959,"

I just heard the saddest news somebody's back in town
And I know just what he's gonna do
He'll pick up where he left off his last time around
Oh how it hurts to keep on losing you

Somebody's back in town to steal your love from me
The fear I've had so long is now reality
The only chance I have is when he throws you down
My chance is gone somebody's back in town

I know that I can't change your ways
We've been through that before
His trap is set and you will walk right in
He only wants a fly by night affair and nothing more
And you're just fool enough to fall again

SomebodyaÃ,Â€Ã,Â™s back in town why canaÃ,Â€Ã,Â™t he stay away
You should know he never loved you anyway
He'll let you live a little then he'll throw you down
Sad news today somebody's back in town

"
20,Hank Thompson,22,Anybody's Girl,1959,"

Where there’s dim lights and there’s liqueur, they’ll find you each night
The jukebox will be playing your favorite song tonight
You’re the loneliest fool that’s living in your make believe world
You’re a honky tonk sweetheart and anybody’s girl
Though you chose the life that lead you to sorrow and shame
Each shoulder that you cry on, you swear that I’m to blame
You gave up the one that loved you to live in your sordid world
You’re a honky tonk sweetheart and anybody’s girl
You can’t say I didn’t love you as you’re crying in your beer
You drink to every heartache and wish that I was near
With each drink you passion surges and start your head to whirl
You’re a honky tonk sweetheart and anybody’s girl
I don’t understand your feelings but emotions are strange things
Why you gave up the life your leading and gave up your wedding ring
You flaunt your charms and beauty and toss your pretty curls
You’re a honky tonk sweetheart and anybody’s girl
You’re a honky tonk sweetheart and anybody’s girl

"
21,Kitty Wells,23,Mommy For A Day,1959,"

I go to see my little girl
Each Sunday afternoon
And how I dread the words I know she'll say
She'll ask me when I'm coming home
I'll answer pretty soon
But I know I'm just her mommy for a day

She's much too young to realize
Why mommy can't come home
And that her daddy wanted things this way
We kiss goodbye
And my heart breaks to walk away alone
To have to be her mommy for a day

I loved her dad with all my heart
They lied and ruined our home
Oh, why did he believe the things they said
I pray in time he'll change his mind
And take me back once more
Then I'll not be her mommy for a day
She's much too young to realize...

"
22,Faron Young,24,That's The Way It's Gotta Be,1959,"

Are there any memories you're keeping in your heart
Could there be an old old flame that might keep us apart

Well there can be no other love that is if you want me

And that's the way it's gotta be

Arms that love one woman that's how it is with me

You tell me that you're so in love but is it all with me

I remember when you said that you were mine alone

Still I can't convince my heart that you're my very own

And if I find you've been untrue you've seen the last of me

And that's the way it's gotta be

And that's the way it's gotta be

"
23,Wilma Lee & Stoney Cooper,25,Come Walk With Me,1959,
24,Rose Maddox,26,Gambler's Love,1959,
25,Eddy Arnold,27,Chip Off The Old Block,1959,"

Le la, le la, le la loo....I'm in love with you
My daddy is a great lover...with big strong arms to hold
His love is real, his love is strong...and his heart's as good as gold
And I'm a chip chop...chip off the old block...Le la lou la dee Chip chop
Chip off the old block..Mmm mm, yeah that's me
When I was a boy, Paw slapped his chest, this is what he said: ""If ever I saw one in my life, this is a thoroughbred"". My boy's a chip chop...Chip off the old block. Le la lou la dee chip, chop...Chip off the old block...mmm mm, yeah that's me
I couldn't take my eyes off you, when you went strolling by. Paw smiled and said he wouldn't be mine if he didn't have a roving eye
I know my Paw be true to Maw, all her live long days. And I'll be true to you, darling cause I got my Pappy's ways
Cause I'm a chip chop...chip off the old block...Le la lou la dee. chip chop, chip off the old block...mmm mm, yeah that's me

"
26,Jimmy Martin,28,Night,1959,"

[Couplet 1 : Eddy Jimmy Martin]
J'ai pas envie de danser ou quand j'essaye c'est pas terrible, que dire ?
Le temps s'fait si long que je pourrais prendre une ride en un quart d'heure
Même XXX mon pire ennemi, le regard vif et parano
J'ai envie de me casser de partout et même le sexe me parait nul
Quelle idée d'aimer les gens ?
Quelle idée d'aider les gens ?
Je vais pas vous donner ma vie, j'ai pas la trentaine
Je suis pas Gandhi laissez-moi tranquille
Quelle idée d'aimer les gens ?
Quelle idée d'aider les gens ?
Je vais pas vous donner ma vie, j'ai pas la trentaine
Je suis pas Gandhi laissez-moi tranquille
Et puis j'ai Canalsat
Alors pourquoi faire connaissance
Avec des gens qui puent de la gueule
Et croient savoir comment je pense ?
Le prochain verre c'est vendredi
C'est ce que j'ai promis à ma meuf
Je sens que c'est la rouille
J'ai pas d'idées et je suis pas salarié
Sans plaque, on fait comment maintenant ?
Parle pas de mes comas de mômes
Moi j'ai un tas de choses à dire sur toi
T'as tes défauts, tu crois quoi ?
On dirait que tu t'es focalisé sur mes soucis
A croire que t'as pas grand chose dans la vie
A part ton chat et tes faux amis
Et puis bien sur moi
Alors laisse-moi me mettre la race
J'suis trop honnête je suis trop lucide
Une fois bourré j'sais être honnête
Comme dans les scènes de cinéma
Comme dans les scènes de cinéma
Je sais être simple et me laisser aimer
Vas-y rempli la coupe faut
Faut que ça déborde comme tsunami

[Pont : Eddy Jimmy Martin & Anton Serra]
Quelle idée d'aimer les gens ?
C'est l'effet papillave
C'est l'effet papillave
Quelle idée d'aider les gens ?
C'est l'effet papillave
C'est l'effet papillave
Rappelez-vous les actes immondes que vous avez commis sous l'effet de l'alcool

[Couplet 2 : Anton Serra]
J'ai tout mon esprit sans spiritueux
Une bonne élocution dans les soirées périlleuses
J'esquive les coins truffés de couteaux papillons
Voilà un des bons côtés de l'effet papillave
Mais putain qu'est-ce que je m'ennuie
Sans alcool c'est chaque fois ""Allez, bonne nuit""
Vous m'avez saoulé, enfin façon de parler
Deux heures pour aller d'un point A à un point B
Je comprends que l'tiers d'vos phrases
Y'a moins de psychologie que de comptoirs
Vu la gueule de vos femmes, mes frandchien, demain vous allez prendre cher
En tout cas moi j'ai passé une soirée d'enculé, reculez, vous puez
Tellement de la gueule, ça dégueule c'est dégueux fait pitié tu sais plus où tu es
Tout comme toi, j'aurais préféré le black-out
Putain dire que je suis dans cet état quand je suis KO
Oui je dois l'avouer on rigole moins, soirée karaoké au cacao
Bande d'handicapés sans macarons
L'avantage papillave c'est qu'on dépense moins, donc on pense plus
Donc moins de risque de tomber sur un regard de trav'
De se marrav', de finir en gardav', des soirées carafes d'eau
Allez j'arrache ma carcasse pour un émincé de poulet paprika
C'est l'effet papillave
Sous les applaudissements d'ma copine
Je suis rentré à la mais' sans haleine fétide
Fatigué et saoulé de Cherry Coke
A cette heure-ci les Kirikou sont encore sous le jerrycan
Chéri écoute j'ai passé toute la night au cola, je surenchéris
Mais certainement en manque de chocolat
J'me suis empiffré de Mon Chéri

"
27,James O'Gwynn,29,How Can I Think Of Tomorrow,1959,
28,Bob Gallion,30,You Take The Table And I'll Take The Chairs,1959,
29,Hank Locklin,1,Please Help Me  I'm Falling,1960,"

[Chorus]
Please help me I'm falling in love with you
Close the door to temptation don't let me walk through
Turn away from me darling I'm begging you to
Please help me I'm falling in love with you

[Verse]
I belong to another whose arms have grown cold
But I promised forever to have and to hold
I can never be free dear but when I'm with you
I know that I'm losing the will to be true

[Chorus]
Please help me I'm falling and that would be sin
Close the door to temptation don't let me walk in
For I mustn't want you but darling I do
Please help me I'm falling in love with you

"
30,Jim Reeves,2,He'll Have To Go,1960,"

Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go
Whisper to me, tell me do you love me true
Or is he holding you the way I do?
Tho' love is blind, make up your mind, I've got to know
Should I hang up, or will you tell him he'll have to go?
You can't say the words I want to hear
While you're with another man
Do you want me, answer yes or no
Darling, I will understand
Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go

"
31,Don Gibson,3,Just One Time,1960,"

If I could see you just one time oh how it'd ease my troubled mind
If I could hold you just one time and then pretend that you're still mine
Lips that used to thrill me so they now thrill someone else I know
Gone is the love that once was mine wish I could see you just one time
I I I I miss you so oh I need you so
I I I'd give this heart of mine if I could see you just one time

I I I I miss you so...

"
32,Ray Price,4,One More Time,1960,"

I wonder what the power is that you hold over me
I never get to love you long just your memory
And I make a vow each time you leave that this will draw the line
Then you come back and just like now I'm falling one more time
One more time my lips may kiss you one more time my arms will hold you
But it won't belong until you're gone with a mem'ry left behind
And I just know that when you go I'll be lonely one more time
[ steel ]
Your nearness makes me weaken and I give into you
And I'm doing all the things I said that I wouldn't do
And I make a vow each time you leave that this will draw the line
Then you come back and just like now I'm falling one more time
One more time my lips may kiss you...

"
33,Buck Owens,5,Above And Beyond,1960,"

Ah well, I'll give you love
That's above and beyond the call of love
And I'll never, ever make you cry
Ah yes, I'll give you love
That's above and beyond the call of love
And love's something that money can't buy

Well a poor boy's chances for a pretty girl's glances
Are sometimes very few
Though I've got no money, if you'll be my honey
Here's what I'll offer you

Ah well, I'll give you love
That's above and beyond the call of love
And I'll never, ever make you cry
Ah yes, I'll give you love
That's above and beyond the call of love
And love's something that money can't buy

We met by chance and I knew at a glance
That I'd found my destiny
Now I want to carry you off and marry you
If you will agree

And I'll give you love
That's above and beyond the call of love
And I'll never ever make you cry
Yes, I'll give you love
That's above and beyond the call of love
And love's something that money can't buy

"
34,Stonewall Jackson,6,Why I'm Walkin',1960,"

I've got my angel on my mind that's why I'm walkin'
There's such an ache in this old heart now I ain't talkin'
The little hand that held mine tight just waved goodbye tonight
I've got her sweet love on my mind that's why I'm walkin'
With an old love on your mind life's not worth livin'
I breathe her name with every breath I'm breathin'
Why could I never see how much she meant to me
I've got her sweet love on my mind that's why I'm walkin'
[ steel ]
With an old love on your mind...
I've got my angel on my mind that's why I'm walkin'

"
35,Jeanne Black,7,He'll Have To Stay,1960,"

I am glad you've finally called me on the phone
I've been waiting here tonight but not alone
You broke the date that we had made just yesterday
Now there's someone else who's here, he'll have to stay

I have found another love I know is true
And he holds me much more tenderly than you
Loving you's not worth the price I have to pay
Someone else is in your place, he'll have to stay

Once I loved you with all my heart
But now I must say no
You broke my heart too many times
So now you'll have to go

I can hear the jukebox playing soft and low
And you're out again with someone else, I know
My love was blind, I'm not your kind that's all I'll say
So you can hang up, I'm in his arms, he'll have to stay

Now someone else is in your place, he'll have to stay

"
36,Roy Drusky,8,Another,1960,"

There'll always be another, then another
And another just like me

You didn't lo-ove me long until the thrill was gone
Then another made me your old used to be
How long can his love last when the new lose love so fast
There'll always be another, then another
And another just like me

Just like me he'll understa-and the sorrow
Of lovin' you today and losin' you tomorrow
I'd warn him, but he'd call it jealousy
So let him be another, then another
And another just like me

You'll go anywhere for a brand new love affair
Somebody new who thrills you instantly
But when the thrill has ceased to chill
And from your past, I know it will
There'll always be another, then another
And another just like me

Just like me he'll understa-and the sorrow
Of lovin' you today and losin' you tomorrow
I'd warn him, but he'd call it jealousy
So let him be another, then another
And another just like me

"
